Interpreta
idObra;idActor;idPersonaje
200;32762;159
200;35824;160
200;38209;161
200;38241;162
200;9416;163
200;38164;113
201;126;9
201;684;6
201;6472;6
201;6895;6
201;7228;6
201;11986;6
201;12697;6
201;12849;6
201;13693;9
201;15813;9
201;14038;9
201;20529;9
201;21051;9
201;21642;6
201;22400;9
201;23835;6
201;25350;9
201;26034;5
201;26069;6
201;27608;9
201;31959;6
201;32126;6
201;34114;6
201;32355;6
201;36241;9
201;36851;6
201;37206;9
201;37225;6
201;9625;9
201;18062;9
202;1757;9
202;3952;6
202;5963;9
202;6648;9
202;6686;9
202;6772;9
202;9383;6
202;14437;9
202;14595;9
202;14731;9
202;15548;9
202;17451;9
202;22711;6
202;24055;6
202;24471;6
202;26110;6
202;28643;6
202;29196;9
202;29943;9
202;31406;9
202;31579;6
202;33531;6
202;34114;6
202;34791;6
203;88;6
203;32266;6
204;16538;7
204;19510;8
204;28202;8
205;9329;5
205;9330;5
205;20115;5
208;9277;5
208;11779;5
208;26603;5
208;27484;5
208;31166;5
208;31603;5
210;6185;5
212;33818;164
218;881;215
218;4994;216
218;6774;217
218;8904;218
218;11149;219
218;11586;220
218;13443;221
218;13548;222
218;16259;223
218;16327;224
218;16856;225
218;16976;226
218;17581;227
218;19018;228
218;22486;229
218;23208;230
218;23782;231
218;23965;232
218;24969;233
218;26885;234
218;27763;235
218;28878;236
218;29573;237
218;30300;238
218;30656;239
218;36322;240
218;36467;241
218;38029;242
218;38393;243
220;28563;244
220;32732;244
224;26782;5
224;30127;5
224;30839;11
224;33832;5
228;601;19
228;5712;6
228;10945;9
228;10714;9
228;16463;19
228;20072;19
228;20381;18
228;21946;6
228;23698;19
228;25938;18
228;30410;19
228;33060;19
228;35637;6
228;37568;18
228;37709;18
229;11962;5
229;16186;11
229;33995;11
230;12805;245
235;29196;5
235;1177;5
238;1694;10
238;12870;10
238;14119;14
238;20403;14
238;20404;14
238;20903;10
238;20889;10
238;23602;10
238;30109;6
238;32571;10
238;33262;10
238;34029;10
238;35257;14
238;35901;10
239;14119;12
239;35421;246
243;20554;9
243;30871;12
247;2416;247
247;4478;248
247;7083;249
247;10876;250
247;10379;251
247;12988;252
247;17047;253
247;19781;254
247;20041;255
247;21892;256
247;22251;257
247;23410;258
247;28833;259
247;31840;260
247;36298;261
255;33281;9
255;37200;6
258;5575;7
258;15612;12
258;20709;6
258;31971;9
260;6840;14
260;8455;10
260;16958;10
260;17257;10
260;29178;10
260;33281;9
260;33340;10
260;33354;10
260;34738;10
260;36047;10
260;37683;10
260;38090;10
262;3582;12
262;4337;12
262;4475;12
262;12381;9
262;13230;6
262;32739;9
262;36724;9
262;36810;12
262;10243;6
263;5520;262
