Serie
idSerie;fechasEmision
435;1994-????
436;1980-1983
437;1994-????
438;1994-????
439;1999-2005
440;1996-????
441;1979-????
442;1999-2009
443;1981-????
444;1997-1998
445;1995-????
446;1994-????
447;1999-????
448;1995-????
449;1995-????
450;1997-????
451;1997-????
452;1986-1987
453;1990-2005
454;1989-1990
455;1994-1995
456;1984-????
457;1987-????
458;1997-????
459;1980-????
460;1985-1986
461;1997-1998
462;1994-1995
463;1997-????
464;1990-1992
465;1993-????
466;1999-????
467;1993-1998
468;1994-????
469;1980-????
470;1978-1979
471;1997-1998
472;1998-2002
473;1992-????
474;1994-????
475;1983-1984
476;1997-????
477;1991-1993
478;1993-????
479;1982-1983
480;1998-2001
481;1978-1979
482;1997-1999
483;1984-1987
484;1994-1996
485;1981-1983
486;1982-????
487;1987-1988
488;1990-????
489;1983-????
490;1992-1993
491;1994-1995
492;1991-????
493;1990-????
494;1977-1978
495;1989-????
496;1976-1980
497;1975-1976
498;1986-1987
499;1997-????
500;1989-1990
501;1990-????
502;1988-1989
503;1995-????
504;1977-????
505;1993-1994
506;1988-????
507;1988-????
508;1996-2003
509;1989-1995
510;1994-1996
511;1996-1998
512;1991-1992
513;1997-????
514;1997-1998
515;1991-????
516;1975-????
517;1995-????
518;1977-1978
519;1995-????
520;1991-1994
521;1994-????
522;1990-????
523;1999-2006
524;1989-1990
525;1990-1991
526;1999-????
527;1995-1999
528;1994-????
529;1979-????
530;1999-????
531;1997-????
532;1992-1993
533;1993-????
534;1991-????
535;1989-1990
536;1998-1999
537;1996-1999
538;1997-2004
539;1989-????
540;1987-1992
541;1999-2000
542;1999-????
543;1994-1995
544;1982-1983
545;1993-????
546;1987-????
547;1983-1984
548;1991-????
549;1999-????
550;1996-????
551;1999-????
552;1991-????
553;1996-2000
554;1997-1998
555;1990-1991
556;1994-2005
557;1995-????
558;1999-????
559;1982-????
560;1998-????
561;1995-????
562;1999-????
563;1985-1986
564;1981-1982
565;1997-????
566;1987-1988
567;1985-????
568;1987-????
569;1993-????
570;1985-????
571;1997-????
572;1982-1984
573;1997-????
574;1996-????
575;1993-1994
576;1992-????
577;1986-????
578;1976-1981
579;1982-1984
580;1988-1990
581;1985-????
582;1999-2000
583;1995-????
584;1999-????
585;1985-1992
586;1998-????
587;1988-1989
588;1998-????
589;1997-????
590;1998-????
591;1986-????
592;1991-1993
593;1997-????
594;1995-????
595;1998-????
596;1990-????
597;1978-????
598;1986-????
599;1978-1979
600;1979-????
601;1984-????
602;1975-1977
603;1999-2004
604;1987-1988
605;1998-2005
606;1988-????
607;1994-????
608;1980-????
609;1983-????
610;1997-????
611;1996-????
612;1997-1998
613;1983-????
614;1990-1991
615;1995-1997
616;1986-????
617;1981-1982
618;1976-1977
619;1995-????
620;1982-1983
621;1994-1999
622;1984-????
623;1995-1997
624;1999-????
625;1994-????
626;1998-????
627;1993-1994
