Personaje
idPersonaje;descripcion
366;Armando Zani #2
367;Leo Rovelli
368;Tea Corsini
369;Riboldi
370;Vittoiro de Blasco
371;Armando Zani #1
372;Ubaldo Milkovich
373;Young Ermes
374;Diana
375;Zaira
376;Isabella
377;Ermes Corsini
378;Marcello Belgrano
379;Giulia de Blasco
380;Himself - Narrador
381;Alonso Quijano
382;Don Quijote
383;Sancho Panza
384;Caballero del Verde Gabán
385;Vizcaíno
386;Miguel de Cervantes Saavedra
387;Bachiller Sansón Carrasco
388;Bernat
389;Herself- Host
390;Reportero
391;Horrifido
392;Dr. Globule
393;Daniel Camarena
394;Portago Diaz
395;Mexican Informant
396;Don Clements
397;Lopez-Razon
398;INS Cop
399;Jack Lawn
400;Enrique Kiki Camarena
401;Banker
402;Reporter
403;Federale at Airport
404;George Gilliard
405;Stephen Matson
406;Pilot
407;Suarez
408;Thanh Steinmetz
409;Female Reporter #1
410;Torres-Lepe
411;Caro Quintero
412;Interrogator
413;Verdin
414;Musician
415;Pilot A-2
416;Tony Riva
417;Caesar
418;Seguno Interrogator
419;Muscle Man #2
420;Pistolero
421;Major Sabina
422;Atty. Gen. Ramirez
423;Sparring Partner
424;Aide
425;Singer
426;Pam Matson
427;Varonas Lawyer
428;Desk Sgt
429;Bob Rawlings
430;CIA
431;Benjamin Piza
432;Florentino Ventura
433;Well Muscled Man #2
434;El Samy Ramirez
435;Enrique Camarena Jr
436;Harley Steinmetz
437;Vendor
438;Jalisco Policeman #2
439;Mika Camarena
440;Pavon Reyes
441;Jalisco Policeman #1
442;Commando #3
443;Pablo Seguno
444;Bud Mullen
445;Commando
446;Commando #2
447;Commando #4
448;Reporter #3
449;Helicopter Pilot
450;Pilot #3
451;Jury Foreman
452;Judge
453;Young Man
454;U.S. Attorney
455;Gabriel
456;Pilot A-3 #2
457;Ramon Varona
458;Ray Carson
459;FBI Forensics Man
460;Abel Reynoso
461;Craig
462;Valdez
463;Herself-Tertuliana
464;Weather Forecaster
465;Staff Himorist
466;Sonia Castilla
467;Leyla
468;Vidal
469;Jimena Sotillo
470;Dra. Delgado
471;Herself - Jurado
472;Himself - Jurado
473;Azcárraga
474;Germaine Gargallo
475;Esposa de Cornuty
476;Pere Manyac
477;Isidro Nonell
478;Ramón Pichot
479;Berthe Weill
480;Antoinette Gargallo
481;Co-Hostess
482;Herself - Substitute Host
483;Himself - Investigador
484;Petete
485;Gaby
486;Miliki
487;Rody
488;Fofito
489;Mer
490;Chus
491;Various
492;Magician
493;Black Wizard
494;Voices
495;Widimer - sustitución
496;Pontos
497;Juliet
498;Rey Luis XIII
499;DArtacán
500;Cardenal Richelieu
501;Amis
502;Tréville
503;Himself - Comentarista
504;Guest Host
505;Negro Romero
506;Laborde padre
507;Elena
508;Federico Augusto
509;Böttger
510;Espectador 1
511;Palaciego
512;Laborde madre
513;Pescador
514;Sobrino Miguel
515;Arlequín
516;Mayordomo
517;Tomás
518;Principe de Sajonia
519;Yvette
520;Músico 1
521;Hildegard
522;Pantalón
523;Sacerdote
524;Comensal 1
525;Badenes
526;Hombre 1
527;Padre de Miguel
528;Hermana de Pierre
529;Esposa del conde
530;Cabrera
531;Espectador 2
532;Emisario
533;Muchacho 2
534;Gobernador
535;Muchacho 1
536;Joaquin
537;Juan de la Cosa
538;Maruja Jarrón
539;Nikito Nakatone
540;Pepe Itarburi
541;Herself - Yellow chorus girl
542;Himself-Colaborador
543;Idoya
544;Joaquín
545;Meli
546;Luis
547;Fernando
548;Aurora
549;Himself - Performer
550;Herself - Performer
551;Monitora de Aeróbic
552;Himself -Host
553;Hacker
554;Cracker
555;Consuelo
556;Begoña
557;Marcial
558;Sergio
559;Saleb
560;Ander
561;Gorka
562;Nerea
563;Amalia
564;Julen
565;Nagore
566;Cánovas
567;Doña Croqueta
568;Don Camilo
569;Presentador
570;El Papa
571;Host #2
572;Host #1
573;Profesor Castro
574;Olga
575;Velasco
576;Lily
