Obra
idObra;titulo;fechaProduccion
241;Cicle Santiago Rusiñol;1981
242;Cifras y letras junior;1993
243;Cifras y letras;1991
244;Cine de barrio;1995
245;Cinema 100;1995
246;Cinema 3;1984
247;Cinéma;1988
248;Circo pop;1988
249;Cita amb...;1982
250;Cita con Apeles;1997
251;Cita con la vida;1993
252;Ciudad abierta;1994
253;Ciudades perdidas;1988
254;Ciutadans;1994
255;Clan Clip;1989
256;Clar i català;1981
257;Clase media;1987
258;Clip, clap, video;1991
259;Clip-Club;1986
260;Clipmanía;1992
261;Club Disney;1989
262;Club Megatrix;1995
263;Club Super 3;1991
264;Coa miña xente;1992
265;Cocina con fundamento;1998
266;Colegio mayor;1994
267;Com a casa;1989
268;Comer es un placer;1994
269;Como la vida misma;1992
270;Como la vida;1999
271;Como Pedro por su casa;1985
272;Compañeros;1998
273;Composteláns;1989
274;Compuesta y sin novio;1994
275;Con las manos en la masa;1984
276;Con luz propia;1995
277;Con mucha marcha;1997
278;Con música propia;1995
279;Con otro acento;1976
280;Con otro aire;1996
281;Con perdón;1997
282;Con t de tarde;1997
283;Con ustedes... Pedro Ruíz;1992
284;Condenadas a entenderse;1999
285;Confesiones;1994
286;Conocemos España;1978
287;Consumo;1981
288;Contacto con tacto;1992
289;Contigo pan y cebolla;1996
290;Contigo;1988
291;Continuarà...;1996
292;Contraportada;1998
293;Coplas de verano;1996
294;Corazonada;1989
295;Corazón de...;1997
296;Corazón;1989
297;Corazón, corazón;1993
298;Cosas de dos;1984
299;Cosas que importan;1999
300;Cosas;1980
301;Coses de la vida;1999
302;Costeira galega;1985
303;Così cosà;1996
304;Coup de foudre;1988
305;Cousas da lingua;1990
306;Crack!;1996
307;Cremallera;1984
308;Cristina, amiga mía;1999
309;Crocante;1990
310;Cruce de caminos;1998
311;Crònica davui;1999
312;Crònica negra;1988
313;Cròniques de la veritat oculta;1996
314;Crónica joven;1988
315;Crónicas del mal;1992
316;Crónicas marcianas;1997
317;Crónicas urbanas;1991
318;Cuadrilátero;1988
319;Cuarto creciente;1989
320;Cuarto y mitad;1976
321;Cuentos imposibles;1984
322;Cuentos interruptus;1995
323;Cuerda de presos;1996
324;Cultura 2;1975
325;Cultural informativo;1975
326;Curro Jiménez;1976
327;Curso del 99;1999
328;Cuánto cuesta;1999
329;Cuéntame cómo pasó;1995
330;Cyberclub;1997
331;Cámara baja;1993
332;Código Alfa;1998
333;Código uno;1993
334;Cómicos;1987
335;DArtacan y los tres mosqueperros;1981
336;Dark Justice;1991
337;Das Sahara-Projekt;1993
338;Date un respiro;1993
339;David el gnomo;1985
340;De ahora en adelante;1981
341;De carne y hueso;1991
342;De cerca;1980
343;De domingo a domingo;1997
344;De jueves a jueves;1986
345;De la mano de;1985
346;De lo bueno, lo mejor;1995
347;De los buenos, el mejor;1996
348;De mar a mar;1991
349;De moda;1986
350;De par en par;1991
351;De película;1982
352;De perfil;1989
353;De professió: A.P.I.;1988
354;De siete en siete;1985
355;De tal Paco tal astilla;1997
356;De tal palo;1992
357;De todo corazón;1996
358;De toros;1989
359;De tres en tres;1998
360;De tú a tú;1990
361;Debate;1987
362;Debates electorales 1996;1996
363;Del 40 al 1;1990
364;Del Miño al Bidasoa;1990
365;Delfy y sus amigos;1992
366;Deliciosamente absurdos;1983
